Title,Year,Plot
Pup School Jr: Fun with Numbers,(2021),"Pup School is back in session. Perfect for toddlers and babies, follow best buddies pups Moxie and Bo as they learn the basics of numbers and counting.with Pup School: Fun With Numbers."
Les mille et une farces de Pif et Hercule,(1993),"Hercule wishes to be recognized at last as the star that he always was. He does not accept that Pif, this fleabag, can delight stardom. He decides, therefore, on an impulse, to change his ... "
The Blacksmith from Woodham,(2013),The theme of the fairytale is the struggle between good and evil - albeit this time in a different guise.
Angelina Ballerina: Angelina Sets Sail,(2006),"Join Angelina Mouseling (Finty Williams) and her friends as they set sail on an ocean adventure to Miss Lilly's (Dame Judi Dench's) homeland, Dachovia, for a very special dance performance."
The Dawgs,(2020),"It's a dog world and in that dog world, THE DAWGS are a dysfunctional famous music group whose mission is to create great music, and spread goodwill, peace and love. However, everywhere ... "
Minky Momo: The Brat Prince's Great Strategy,(2015),Magical girl Minky Momo must use her powers to save a young prince from being captured by enemies of his country.
Historias de amor y masacre,(1979),"Animation film based in some stories of the better illustrators and humorists of Spain during the democratic transition, on seventies: Chumy Chumez, Perich, Oscar, Ja, Fer, Ivà. They are ... "
Los supersabios,(1978),"Paco and Pepe, the famous Supersabios from the comics, now appear in a cartoon movie. Determined to go to Saturn, they secretly build a space rocket. Despite their precautions, the rumor ... "
Mehmaan,(1972),"A young, innocent girl narrates her suffocation as more siblings join her family, leaving her stifled with scarcer resources."
Eagle Feather,(2018),Eagle Feather is based on my own experiences with my father and also his experiences with his grandfather in going out into nature to learn different aspects about nature and American ... 
Fist of the North Star: The Souther Saga,(2011),Super fighter Kenshiro must avenge the death of his Hokto brother by crushing the evil Souther.
Apfelland monogatari,(1992),In 1905 a young heiress comes to the European country of Apfelland. A young boy rescues her and the two have a great adventure.
The Green Marker Scare,(2012),"Starting as an old-school sleuth story, young Noreen begins investigating the suspicious circumstances surrounding her father's death, uncovering a shocking and sinister conspiracy that has been wreaking havoc in her hometown for years."
Chironup no Kitsune,(1987),"Foxes Ken and Chin become the proud parents of cubs, Koro and Kan, who enjoy a carefree life on the northern Japanese island of Chironup. They befriend a fisherman and his wife but are ... "
Les aventures des Schtroumpfs,(1965),"The Smurfs, tiny blue people living in a village of big forest mushrooms, have assorted adventures in this theatrical compilation of five ""Smurfs"" TV cartoon shorts adapted from Peyo's famous comic-book."
The Lady of Names,(2011),"A beautiful librarian discovers the power of magic when an ill-conceived wish catapults her into the world of fairy tales. She falls into the clutches of the Troll King, a monster obsessed ... "
Captain Amazing-Lad Saves America,(2011),"With just a flyspeck of talent and a enormous amount of dumb-luck, this gallantly square-jawed super person dispenses a cup of American justice that no dastardly villain or reckless pedestrian can withstand."
Glitch in the Grid,(2011),Three artists struggling against the grid of society find spiritual renewal.
Nezumi monogatari: Jôji to Jerarudo no bouken,(2007),An elder clan mouse puts George and Gerard on a quest to pursue the dragon of light to decide who will become his successor.
Mu-Lan,(1998),"Freely inspired by a poem called ""Mu-Lan-Ci"" narrated during the Soong dynasty (960-1279 AD). Mu-Lan is the legend of a young girl who convinces her old father to send her to war to keep ... "
Christmas Under the Sea,(2020),Christmas is just around the corner and Brie - the little starfish who stands proudly on Bubbletown's Christmas tree every year - is missing. Enter mystery-solving police inspector McToothy... 
Warrior Princess,(2005),"A warrior princess from another world is hiding inside a massive lotus flower and accidentally gets exposed by Krishna Balram. Her cover thus destroyed, she is immediately tracked and ... "
Winged Warriors,(2019),"Meet the winged chicken warriors: they're the masters of disaster and flying feathers. With the help of these great kung fu masters, the coop is safe from sneaky weasels."
Another Planet,(2017),A documentary animation film about virtual models of the Auschwitz Concentration Camp. The film unfolds within the models and follows their creators: Israeli high-school students who have ... 
2018 Oscar Nominated Shorts - Animation,(2018),An exclusive feature-length presentation showcasing this year's Oscar award nominees for Best Animated Short Film.
Game Over,(2013),"Karaati has been captured and his XLN ray device confiscated by the scientific research department. Meanwhile in Aryanagar, a famous foreign toy company has set up a manufacturing unit to ... "
Orange Peel,(2015),Orange Peel sells her body to be a singer and famous.
Le conte des sables d'or,(2017),"Life is sweet in the town of Merryville, until Eyes invade the city. These intruders soon make the city unlivable despite the efforts of an army of specialists trying to contain them under ... "
Ginga tetsudô no yoru,(2006),"A fantastic journey of a boy, Giovanni, in a dreams cape created into a colorful full-dome CG animation picture with inspiring background music. Based on the famous Ginga Tetsudou no Yoru ... "
Sands of Arena,(2021),"Ekwalla is a young fisherman who dreams of joining the Besua wrestling camp of Mboa Matanda where the beloved champion of the whole country, Maloka, his idol, is found. In Mboa Matanda, the...  "
Witchmas,(2020),"When Selma the Wicked Witch enlists an arrogant little elf named Grumper and his pet dragon Grus to transform Christmas into a whole new holiday known the world over as Witchmas, it sparks ... "
Days of Solitude,(2018),This animated film is based on true events that happened during the war between Iran and Iraq.
Yoko y sus amigos,(2015),"This is the third time that Vik and his family have moved to a different city. Vik is a shy child who finds it hard to make new friends, and whenever he finally does start to open up to ...  "
Gekijouban Bureiku bureido Dainishou: Ketsubetsu no michi,(2010),Athens invades the Krisna Kingdom for allowing the Orlando Empire to cross into their land to attack Athens during their power struggle over Assam but the true purpose of the invasion is to... 
Columbus III: The New World,(2006),Come join the great explorer Christopher Columbus and his crew as they venture to the Caribbean in search of gold in this high quality entertaining animated feature for your kids and family... 
Scooby-Doo! The Backstage Rage,(2019),"In this dark and grim update to The Meddling Saga, a series of mysterious disappearances occur in the dark small town of Coolsville and The Mystery Five are also solving a counterfeit ... "
Bug Smarts 2,(2019),Excellent animation highlights this bugs-eye view of the world of insects by the Best Bug Buddies who show you amazing little creatures and facts.
Mission Paisa,(2009),All the character make a mission called Mission Paisa and take a revenge on everyone who sent them to prison.
King of Prism by PrettyRhythm,(2016),"The completely male musical group 'Over The Rainbow' succeeds in its debut. Aiming to become the best boy band, more students enroll in Edel Rose (school). Hiro and the others begin ... "
Breathless Animals,(2019),"The woman speaks only in voiceover and is never seen. Her account is one of hardship, of a mother who died young, of a father sent to a farm for reform during the Cultural Revolution, of all the things the family lacked."
I quattro moschettieri,(1936),"The four Musketeers, accompanied by their faithful servants Fric and Froc, chase the thieves of the precious shoes of the Queen of France."
Fist of the North Star: The Ray Saga,(2011),Hokto master Kenshiro must help his martial arts brother Ray defeat the sinister Yuda.
The Windows 7 Movie,(2020),"When Windows 7 is at risk of support, Nine-Ex. Along with Seven and Ten go to Save the Planet Windows 7. But an Evil Virus named Wannacry plans to destroy the whole of Windowsville, So the ... "
